d,price_usd,usdt,usdc,dai,busd,pax,gusd,stablecoins
2017-11-28,9932.1941800117,110534.49,,,,,,
2017-11-29,9800.0275517241,111674.3,,,,,,
2017-11-30,9996.7149719462,110881.61,,,,,,
2017-12-01,10808.9583325541,111775.54,,,,,,
2017-12-02,10934.8599856809,109591.2,,,,,,
2017-12-03,11213.9426554646,109843.31,,,,,,
2017-12-04,11562.1285669199,110397.97,,,,,,
2017-12-05,11736.7540672122,110237.92,,,,,,
2017-12-06,13992.1323372297,112659.68,,,,,,
2017-12-07,17032.2933763881,115182.34,,,,,,
2017-12-08,16298.4873386908,113949.57,,,,,,
2017-12-09,15050.0219541204,114851.87,,,,,,
2017-12-10,15474.9995432496,111986.97,,,,,,
2017-12-11,16873.4977849211,112588.33,,,,,,
2017-12-12,17433.9307381648,122345.68,,,,,,
2017-12-13,16515.15257218,111932.34,,,,,,
2017-12-14,16602.8928033314,112090.1,,,,,,
2017-12-15,17702.0021721216,112214.06,,,,,,
2017-12-16,19640.5138834015,111175.87,,,,,,
2017-12-17,19250.467650789,111787.04,,,,,,
2017-12-18,18982.0250242548,110328.15,,,,,,
2017-12-19,17653.3260894214,112950.17,,,,,,
2017-12-20,16453.6272603741,110570.48,,,,,,
2017-12-21,15633.8336504968,112211.64,,,,,,
2017-12-22,14305.7183436587,114854.36,,,,,,
2017-12-23,14910.8581049094,116394.29,,,,,,
2017-12-24,14026.3468661601,116268.22,,,,,,
2017-12-25,14080.9422600818,112779.5,,,,,,
2017-12-26,15727.1454792519,110577.49,,,,,,
2017-12-27,15389.0005739334,110440.27,,,,,,
2017-12-28,14289.4522095266,111799.64,,,,,,
2017-12-29,14571.7460821157,111794.37,,,,,,
2017-12-30,12948.7158828171,113281.93,,,,,,
2017-12-31,13921.4806414378,111444.63,,,,,,
2018-01-01,13464.6536116306,110602.9,,,,,,
2018-01-02,14754.322204851,110984.78,,,,,,
2018-01-03,15010.2861595558,110509.58,,,,,,
2018-01-04,15070.3007986558,110934.07,,,,,,
2018-01-05,16997.2274079486,110957.83,,,,,,
2018-01-06,17103.589279661,110209.6,,,,,,
2018-01-07,16231.6949994155,109618.51,,,,,,
2018-01-08,14937.4150894214,110376.49,,,,,,
2018-01-09,14378.5862174167,110190.09,,,,,,
2018-01-10,14669.0882656341,30214438.38,,,,,,
2018-01-11,13186.7549427236,30193669.24,,,,,,
2018-01-12,13789.4436639392,30254915.77,,,,,,
2018-01-13,14231.2250645821,30076360.57,,,,,,
2018-01-14,13681.0654611338,30392473.7,,,,,,
2018-01-15,13591.6961966686,30228036.86,,,,,,
2018-01-16,11431.0401052016,31070541.89,,,,,,
2018-01-17,11159.6085905903,30631900.95,,,,,,
2018-01-18,11246.0397302747,30988356.9,,,,,,
2018-01-19,11440.2555616598,30485490.83,,,,,,
2018-01-20,12768.4045856224,30157441.17,,,,,,
2018-01-21,11422.3942589129,30227050.11,,,,,,
2018-01-22,10737.3505774401,30304215.72,,,,,,
2018-01-23,10849.3918793103,30226296.52,,,,,,
2018-01-24,11225.8961747516,30156683.28,,,,,,
2018-01-25,11130.4649473992,30024812.48,,,,,,
2018-01-26,11035.5546098773,29974383.36,,,,,,
2018-01-27,11320.9701852718,29768749.13,,,,,,
2018-01-28,11615.95871128,58776609.84,,,,,,
2018-01-29,11132.5543138515,59533917.02,,,,,,
2018-01-30,9959.5467153711,58622969.52,,,,,,
2018-01-31,10050.0957971946,58995203.88,,,,,,
2018-02-01,9039.8650751023,58681258.59,,,,,,
2018-02-02,8786.0773798948,59368189.39,,,,,,
2018-02-03,9132.1003223261,59944723.57,,,,,,
2018-02-04,8250.5268959673,60096914.51,,,,,,
2018-02-05,6849.542559322,59673571.71,,,,,,
2018-02-06,7738.6439596727,60230911.11,,,,,,
2018-02-07,7624.5953895383,59946805.54,,,,,,
2018-02-08,8218.580851841,59841234.58,,,,,,
2018-02-09,8660.4534678551,59961066.79,,,,,,
2018-02-10,8530.2928047925,60193211.61,,,,,,
2018-02-11,8096.7284812975,60235331.26,,,,,,
2018-02-12,8907.670179135,60079858.17,,,,,,
2018-02-13,8523.9669319112,60122570.04,,,,,,
2018-02-14,9467.3010327294,60098452.22,,,,,,
2018-02-15,10106.7330835769,60140235.06,,,,,,
2018-02-16,10189.3164833431,60070687.65,,,,,,
2018-02-17,11085.5984143776,60508015.16,,,,,,
2018-02-18,10452.0919772063,60322457.66,,,,,,
2018-02-19,11139.3557305669,60112344.63,,,,,,
2018-02-20,11245.9323179427,60137066.84,,,,,,
2018-02-21,10458.8650888369,60338172.58,,,,,,
2018-02-22,9878.1589427236,60269200.71,,,,,,
2018-02-23,10159.0656125073,60179809.75,,,,,,
2018-02-24,9686.6017799533,60165442.49,,,,,,
2018-02-25,9603.2274774985,60207549.55,,,,,,
2018-02-26,10312.3657130333,60044661.78,,,,,,
2018-02-27,10654.1072948568,60099703.28,,,,,,
2018-02-28,10307.0249663939,60012882.41,,,,,,
2018-03-01,10923.6308617767,60006245.93,,,,,,
2018-03-02,11014.0584672706,60038315.39,,,,,,
2018-03-03,11425.6805654588,59956749.81,,,,,,
2018-03-04,11462.5831975453,59828820.34,,,,,,
2018-03-05,11540.6623205728,60007513.38,,,,,,
2018-03-06,10677.0352308591,60117984.34,,,,,,
2018-03-07,9903.0850490941,60206648.82,,,,,,
2018-03-08,9330.4754529515,60258603.95,,,,,,
2018-03-09,9278.1391843951,60312452.75,,,,,,
2018-03-10,8786.5604231444,60304925.27,,,,,,
2018-03-11,9513.5353997662,60044526.59,,,,,,
2018-03-12,9147.8901805962,60063317.42,,,,,,
2018-03-13,9160.5429327878,60126501.44,,,,,,
2018-03-14,8222.1272390415,60302600.06,,,,,,
2018-03-15,8268.589122443,60146075.71,,,,,,
2018-03-16,8376.9044982466,60071619.25,,,,,,
2018-03-17,7881.6619205143,60238097.69,,,,,,
2018-03-18,8189.0167191701,60103701.17,,,,,,
2018-03-19,8537.0156233197,59964710.81,,,,,,
2018-03-20,8895.547179135,60183661.38,,,,,,
2018-03-21,8879.5942565751,60171790.61,,,,,,
2018-03-22,8710.6649351257,60105678.07,,,,,,
2018-03-23,8771.746323495,60154842.48,,,,,,
2018-03-24,8610.9885163647,60094262.65,,,,,,
2018-03-25,8440.6109225599,60102759.44,,,,,,
2018-03-26,8171.1843544711,60235444.17,,,,,,
2018-03-27,7837.2653194039,60161247.1,,,,,,
2018-03-28,7933.6427296902,60039966.65,,,,,,
2018-03-29,7108.5708132671,59987468.35,,,,,,
2018-03-30,6832.1490663355,60157591.25,,,,,,
2018-03-31,6922.2812969024,60187538.96,,,,,,
2018-04-01,6804.5248793104,60137741.36,,,,,,
2018-04-02,7033.259609585,60069777.77,,,,,,
2018-04-03,7420.800515488,60167513.02,,,,,,
2018-04-04,6780.5436014027,60121584.55,,,,,,
2018-04-05,6798.4226165985,60143720.48,,,,,,
2018-04-06,6610.4923497954,60240959.46,,,,,,
2018-04-07,6886.4694719462,60176469.06,,,,,,
2018-04-08,7009.996104325,60027896.91,,,,,,
2018-04-09,6736.8928237873,60033153.02,,,,,,
2018-04-10,6816.7186154296,60113302.52,,,,,,
2018-04-11,6944.7858571011,60161095.76,,,,,,
2018-04-12,7904.3302752776,60050657.66,,,,,,
2018-04-13,7919.064694623,60117087.82,,,,,,
2018-04-14,8006.417943308,60088059.39,,,,,,
2018-04-15,8342.2711014027,60077829.49,,,,,,
2018-04-16,8046.9821335476,60029462.42,,,,,,
